PCI,Latitude,Longitude,Time
7,19.109855,72.83757833,13.05714772
5,19.10985167,72.83757167,14.05714772
5,19.109845,72.83756167,15.05714772
5,19.10983833,72.83755167,15.55714772
7,19.10983,72.83754667,16.05714772
5,19.10982167,72.83754,16.55714772
5,19.10981333,72.837535,17.05714772
5,19.10980833,72.83752833,18.05714772
5,19.10980167,72.837515,19.05714772
7,19.10979667,72.83750667,20.05714772
5,19.10979167,72.83749667,21.05714772
5,19.109785,72.83748833,22.05714772
5,19.10978,72.83748167,23.05714772
5,19.109775,72.837475,24.05714772
5,19.10977167,72.83746667,25.05714772
5,19.10976833,72.83745833,26.05714772
5,19.10976667,72.83744833,27.05714772
7,19.109765,72.83743833,28.05714772
5,19.10976333,72.83742833,29.05714772
5,19.10976,72.83742,30.05714773
7,19.10975667,72.83741,31.05714773
5,19.10975167,72.83740333,32.05714772
7,19.10974833,72.83739333,33.05714772
5,19.10974667,72.83738333,34.05714772
7,19.109745,72.83737333,35.05714772
5,19.10974333,72.83736333,36.05714772
5,19.10974333,72.83735667,37.05714772
5,19.10973833,72.83735,38.05714772
5,19.10973333,72.83734,39.05714772
5,19.10973167,72.83733167,40.05714772
5,19.10973,72.83732333,40.05714772
